"carrier","carrier_name","year","total_delay","carrier_delay","weather_delay","nas_delay","security_delay","late_aircraft_delay","carrier_nameshort","total_delay_rel","carrier_delay_rel","weather_delay_rel","nas_delay_rel","security_delay_rel","late_aircraft_delay_rel"
"HA","Hawaiian Airlines Inc.",2009,234162,186518,1560,1393,474,44217,"Hawaii",0.567728833727983,1.69489076551782,0.0987724984440166,0.0119122994791426,1.01590295340563,0.261316922163347
"HA","Hawaiian Airlines Inc.",2010,216374,157988,1486,1833,441,54626,"Hawaii",0.492850979852637,1.17516922792435,0.0857562157386317,0.0175667914231507,0.685975609756098,0.299696589161381
"HA","Hawaiian Airlines Inc.",2011,210226,138703,2687,874,222,67740,"Hawaii",0.465662584257448,1.00650345360366,0.152773489847983,0.00829054155448982,0.34059004924748,0.356549622875348
"HA","Hawaiian Airlines Inc.",2012,227971,158544,3581,3703,448,61695,"Hawaii",0.460848059402947,0.989509182998971,0.207135862268823,0.0339778698821006,0.662800331400166,0.297317477814801
"HA","Hawaiian Airlines Inc.",2013,224531,159197,3699,3906,778,56951,"Hawaii",0.386671115267639,0.914883539222406,0.180861092422512,0.0280574907035319,0.90144370032211,0.231376809633492
"HA","Hawaiian Airlines Inc.",2014,246849,161083,5351,8862,289,71264,"Hawaii",0.389855971285511,0.823420067888463,0.217421778340305,0.0614923105468541,0.496256611030977,0.26566843175027
"HA","Hawaiian Airlines Inc.",2015,341192,196422,11429,6241,401,126699,"Hawaii",0.609124314172336,1.06081745732821,0.436458594289415,0.0510563159918837,0.598838164359422,0.560909621074891
"OO","SkyWest Airlines Inc.",2007,6913905,2730247,356372,1197780,19948,2609558,"SkyWest",11.3515667437869,15.6246949024953,11.3726392499851,7.59824277076471,16.3472018487712,10.6889489947143
"OO","SkyWest Airlines Inc.",2008,6182502,1678216,306304,1829877,12287,2355818,"SkyWest",11.5863407272498,11.7472120936752,12.6943130800278,11.9832820014919,17.0652777777778,11.0503145713172
"OO","SkyWest Airlines Inc.",2009,4836475,992380,113241,1379022,5769,2346063,"SkyWest",11.7260969376096,9.0177661023846,7.16993365147364,11.7927660102844,12.3644391101205,13.8649379732073
"OO","SkyWest Airlines Inc.",2010,6211607,1389117,150120,1544218,7254,3120898,"SkyWest",14.148634292519,10.3327312984948,8.66333991028492,14.7992119573785,11.2835988053758,17.1222949826196
"OO","SkyWest Airlines Inc.",2011,5843981,1348192,139645,1400901,6274,2948969,"SkyWest",12.9447513381381,9.78320515144465,7.93972980640921,13.2885903366434,9.62550436476887,15.521904116048
"OO","SkyWest Airlines Inc.",2012,5581930,1360820,109605,1277785,4660,2829060,"SkyWest",11.2839861571125,8.49318729443347,6.33988444121038,11.7246590513907,6.89430701858208,13.6336653502997
"OO","SkyWest Airlines Inc.",2013,6517526,1694065,182183,1450952,8047,3182279,"SkyWest",11.2240138208347,9.73556149219398,8.90776328759407,10.4224455328395,9.32380135795889,12.9287556387712
"OO","SkyWest Airlines Inc.",2014,7236415,1991706,184342,1582523,7489,3470355,"SkyWest",11.4286855464273,10.181153130584,7.49018229542301,10.9809293346354,12.8597431142249,12.9373003264862
"OO","SkyWest Airlines Inc.",2015,6506580,2043703,250325,1333972,9896,2868684,"SkyWest",11.6160873646142,11.0374388815613,9.55958505691643,10.9129459952452,14.7783104102265,12.6999617631047
"UA","United Air Lines Inc.",2007,8056164,1838180,235286,2262296,895,3719507,"United",13.2269800271906,10.5195616645193,7.50851020442681,14.3511114122209,0.733444237750662,15.2353849228424
"UA","United Air Lines Inc.",2008,7216447,1720150,214132,2047161,1661,3233343,"United",13.5240091765663,12.0407425998414,8.87438181823456,13.4062057534229,2.30694444444444,15.1664760465224
"UA","United Air Lines Inc.",2009,3884397,983008,104269,1062730,1934,1732456,"United",9.41777136574883,8.93260265298866,6.60186515401228,9.08798135353139,4.14505551030906,10.2385975915016
"UA","United Air Lines Inc.",2010,2660172,657918,77169,792328,1321,1131436,"United",6.05926949068072,4.89382097436218,4.45337914692764,7.59337736755162,2.05481582877053,6.20743803416682
"UA","United Air Lines Inc.",2011,3324137,836099,95246,993489,1890,1397413,"United",7.36315311067993,6.06718334177752,5.41535683441048,9.42398379682899,2.89961798683665,7.35528606659446
"UA","United Air Lines Inc.",2012,6430231,2117628,158014,1661009,9977,2483603,"United",12.9988440541239,13.2165982451291,9.14000729978939,15.2410336686465,14.7606225588827,11.9688561447973
"UA","United Air Lines Inc.",2013,5827264,1732247,201021,1713003,6076,2174917,"United",10.0352943238972,9.95498826088051,9.8288395944487,12.304804338869,7.04006673927653,8.83611098448921
"UA","United Air Lines Inc.",2014,6473753,1985119,282459,1793066,208,2412901,"United",10.2241907549858,10.1474818680226,11.4768712555082,12.4418609008131,0.357167387870046,8.99516761111725
"UA","United Air Lines Inc.",2015,6775806,2214313,325044,1510372,1305,2724772,"United",12.0967319946388,11.9588533177995,12.4130061529625,12.3560375095807,1.94883741767842,12.0628484047662
"US","US Airways Inc.",2007,6948836,2042191,167759,2192671,19934,2526281,"Virgin",11.4089180637613,11.6870786077676,5.3535703925624,13.9094379388664,16.3357289780131,10.347840038549
"US","US Airways Inc.",2008,4166644,1109335,101863,1567919,10900,1376627,"Virgin",7.8085145905575,7.76514675580332,4.22156032330911,10.2678024438239,15.1388888888889,6.45727360830447
"US","US Airways Inc.",2009,3493662,906489,83511,1444734,7244,1051684,"Virgin",8.47042924428291,8.23727380276156,5.28755776766556,12.354705007681,15.5257404946633,6.21532048688147
"US","US Airways Inc.",2010,2961104,863480,93346,1097368,10371,896539,"Virgin",6.74472444861935,6.42286202071118,5.38694462606885,10.5167674688707,16.1320930811349,4.91871417182579
"US","US Airways Inc.",2011,3673355,1151148,126345,1329213,12143,1054506,"Virgin",8.13669090500232,8.35334807184378,7.18353798840468,12.6085762142655,18.6296620180728,5.55039439946548
"US","US Airways Inc.",2012,2390504,803116,71106,892918,9406,613958,"Virgin",4.83245294092223,5.01242971675624,4.11298593199859,8.19320864687698,13.9158480293526,2.95875588044768
"US","US Airways Inc.",2013,3430797,1091974,99878,1272552,11621,954772,"Virgin",5.90827147363558,6.27542628227195,4.88349396836324,9.14096669476726,13.4648807730633,3.87898543111426
"US","US Airways Inc.",2014,3527956,1264474,130887,1159883,13627,959085,"Virgin",5.57180589361328,6.46370670352052,5.31819927146842,8.04828319047809,23.3996153581977,3.57541827381579
"US","US Airways Inc.",2015,1838065,636322,70557,601963,6163,523060,"Virgin",3.28146639583922,3.43658798954294,2.69447974777131,4.92453343108833,9.20359004226214,2.31564090008155
"WN","Southwest Airlines Co.",2007,10476439,2102273,470366,1597151,39398,6267251,"SouthWest",17.2006986711145,12.0309166997541,15.0104464813691,10.1316945011351,32.286297294861,25.6711390496292
"WN","Southwest Airlines Co.",2008,11127162,2261002,510665,1718542,25821,6611132,"SouthWest",20.8528990786103,15.8266099466481,21.1637503558961,11.2541845257402,35.8625,31.0104975310067
"WN","Southwest Airlines Co.",2009,8558081,2123036,385787,1287158,19613,4742487,"SouthWest",20.7491793932389,19.2920474767148,24.4263755495012,11.0071870588473,42.035663766128,28.0275031377001
"WN","Southwest Airlines Co.",2010,10029222,2810519,387527,1292940,26844,5511392,"SouthWest",22.8442968649636,20.9056095608319,22.3639629990207,12.3910569026996,41.7558486809358,30.2373482212009
"WN","Southwest Airlines Co.",2011,10082029,2665593,401925,1323522,29827,5661162,"SouthWest",22.3322694561973,19.3429742716578,22.8520598835692,12.5545928367065,45.7602675626333,29.7975372916482
"WN","Southwest Airlines Co.",2012,8821656,2598575,355588,1231329,23587,4612577,"SouthWest",17.833158815465,16.2182979186317,20.5682845552768,11.298389560912,34.8961415552136,22.2287018375324
"WN","Southwest Airlines Co.",2013,11652537,3177218,447198,1749046,24200,6254875,"SouthWest",20.0671598910058,18.2590403633305,21.8655633439206,12.5637075998591,28.0397654855978,25.4118983363995
"WN","Southwest Airlines Co.",2014,15362643,4439535,478836,1945812,13850,8484610,"SouthWest",24.2626792422799,22.6939044535625,19.4560595502445,13.5017463066797,23.782540009616,31.6301783889855
"WN","Southwest Airlines Co.",2015,12371384,3831371,545369,1669198,11888,6313558,"SouthWest",22.0864228773319,20.6921080240556,20.826930362151,13.655359804682,17.7530875259472,27.950776449809
